DATA_ID,STUDY_ID,AI_NAME,AI_50,AI_50_TYPE,AI_ERROR_LOWER,AI_ERROR_HIGHER,AI_ERROR_TYPE,AI_N_CONTAINER,AI_N_INDIVIDUALS_PER_CONTAINER,AI_N_STRUCTURE,FORM_NAME,FORM_50,FORM_50_TYPE,FORM_ERROR_LOWER,FORM_ERROR_HIGHER,FORM_ERROR_TYPE,FORM_N_CONTAINER,FORM_N_INDIVIDUALS_PER_CONTAINER,FORM_N_STRUCTURE,CI_METHOD,CONTROL_GROUP,TEST_GROUP,MULTIPLE_MEASUREMENT,MULTIPLE_TYPE,SPECIES_NAME_BINOMIAL,SPECIES_NAME_COMMON,STRAIN_CLONE_SOURCE,SPECIES_CLASS,SPECIES_PHYLUM,SPECIES_KINGDOM,ECOSYSTEM,LIFE_STAGE,EXPOSURE_DURATION_HOURS,PESTICIDE_CLASS,NANO_FORMULATION,BIO_FORMULATION,SEX,EXPOSURE_ROUTE,ACUTE_CHRONIC_TOXICITY,TEMPERATURE_°C,PH,FEEDING_STATE,AGE_TEST_ORGANISM_HOURS,REGULATORY_STANDARDISED_GUIDELINES_FOLLOWED,GUIDELINES,WATER_HARDNESS_mg_L_Ca_CO3,SE_SIMULATION_REQUIRED,FORMULATION_TYPE,FORMULATION_EXPRESSED_IN_AI_CONC,FORMULATION_VALUE_ADJUSTED,YEAR_PUBLISHED,NOTES
215,wos116,glyphosate,140.7,IC50,25.9,25.9,SE,3,1,3 replicates,Roundup Full II,644.6,IC50,165.5,165.5,SE,3,1,3 replicates,"drc, four or five parameter",wos116_ai_b,wos116_form_b,wos116_2,1,NA,Microbial community,Coronel Dorrego,NA,NA,NA,Terrestrial,NA,168,herbicide,NO,NO,NA,environmental,chronic,30,NA,NA,NA,NO,NA,NA,NO,soluble concentrate,YES,NA,2015,"method of this paper was hard to follow. As it's an aggregate, not a single species this may be excluded later on. I excluded soils that had a history of glyphosate exposure."
216,wos17,nicosulfuron+terbuthylazine,1.27,EC50,0.22,0.21,CI_95,3,1,3 replicates,Winner Top,3.67,EC50,1.06,1.06,CI_95,3,1,3 replicates,logistic,wos17_ai_a,wos17_form_a,wos17_1,1,Raphidocelis subcapitata,NA,University of Aveiro,Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,96,herbicide,NO,NO,NA,environmental,acute,23,NA,NA,NA,YES,NA,NA,NO,oil dispersion,YES,NA,2018,two ais but usable as mixture of them at same ratio as formulation was used. This meant the ai and the formulation could be compared in terms of TU (as the individual ais were also tested).
217,wos17,nicosulfuron+terbuthylazine,2.23,EC50,0.46,0.47,CI_95,3,1,3 replicates,Winner Top,6.84,EC50,2.12,2.12,CI_95,3,1,3 replicates,logistic,wos17_ai_b,wos17_form_b,wos17_2,1,Chlorella vulgaris,NA,University of Aveiro,Trebouxiophyceae,Chlorophyta,Plantae,Aquatic,NA,96,herbicide,NO,NO,NA,environmental,acute,23,NA,NA,NA,YES,NA,NA,NO,oil dispersion,YES,NA,2018,two ais but usable as mixture of them at same ratio as formulation was used. This meant the ai and the formulation could be compared in terms of TU (as the individual ais were also tested).
218,wos17,nicosulfuron+terbuthylazine,1.62,EC50,0.23,0.23,CI_95,3,1,3 replicates,Winner Top,4.7,EC50,1.04,1.04,CI_95,3,1,3 replicates,logistic,wos17_ai_c,wos17_form_c,wos17_3,1,Lemna minor,NA,University of Aveiro,Liliopsida,Tracheophyta,Plantae,Aquatic,NA,96,herbicide,NO,NO,NA,environmental,acute,23,NA,NA,NA,YES,NA,NA,NO,oil dispersion,YES,NA,2018,two ais but usable as mixture of them at same ratio as formulation was used. This meant the ai and the formulation could be compared in terms of TU (as the individual ais were also tested).
219,wos17,nicosulfuron+terbuthylazine,3.24,EC50,0.83,0.84,CI_95,3,1,3 replicates,Winner Top,2.57,EC50,0.92,0.93,CI_95,3,1,3 replicates,logistic,wos17_ai_d,wos17_form_d,wos17_4,1,Lemna gibba,NA,University of Aveiro,Liliopsida,Tracheophyta,Plantae,Aquatic,NA,96,herbicide,NO,NO,NA,environmental,acute,23,NA,NA,NA,YES,NA,NA,NO,oil dispersion,YES,NA,2018,two ais but usable as mixture of them at same ratio as formulation was used. This meant the ai and the formulation could be compared in terms of TU (as the individual ais were also tested).
220,wos1843,glyphosate-IPA,4.2,EC50,1.8,1.8,SE,4,5,"4 containers, 5 individuals",Roundup Quick,48.9,EC50,5.5,5.5,SE,4,5,"4 containers, 5 individuals",log-normal,wos1843_ai_a,wos1843_form_a,wos1843_1,1,Daphnia magna,water flea,"National Institute of Chemical Physics and Biophysics, Estonia",Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,48,herbicide,NO,NO,NA,environmental,acute,20,NA,starved,24,YES,NA,NA,NO,ready to use,YES,NA,2013,"glyphosate-IPA vs Roundup Max was excluded as this formulation has a glyphosate ammonium salt, not IPA. Bacterial work did not include CIs. Requested"
221,wos1843,glyphosate-IPA,7.5,EC50,1.4,1.4,SE,3,1,3 replicates,Roundup Quick,5.4,EC50,1.3,1.3,SE,3,1,3 replicates,log-normal,wos1843_ai_b,wos1843_form_b,wos1843_2,1,Aliivibrio fischeri ,NA,"National Institute of Chemical Physics and Biophysics, Estonia",Gammaproteobacteria,Proteobacteria,Bacteria,Aquatic,NA,0.5,herbicide,NO,NO,NA,environmental,acute,20,NA,NA,NA,YES,NA,NA,NO,ready to use,YES,NA,2013,"glyphosate-IPA vs Roundup Max was excluded as this formulation has a glyphosate ammonium salt, not IPA. Bacterial work did not include CIs. Requested"
222,scopus3747,fenitrothion,1.6,LC50,0.32,0.27,CI_95,3,5,"3 tanks, 5 individuals per tank",11% spray,1.6,LC50,0.225,0.336,CI_95,3,5,"3 tanks, 5 individuals per tank",NA,scopus3747_ai_a,scopus3747_form_a,scopus3747_1,1,Salmo salar,atlantic salmon,NA,Actinopterygii ,Chordata,Animalia,Aquatic,juvenile,96,insecticide,NO,NO,NA,environmental,acute,16,6.01,fed,NA,NO,NA,9.6,NO,spray,NO,YES,1989,sample size was unclear. For the 96h LC50 values all I says was fish were housed in groups of 5. For the 7day work they said 3x5 though. I assumed they used this for the 96h LC50 experiment as well. 
223,wos45,glyphosate,>300,LC50,NA,NA,NA,4,5,"4 containers, 5 individuals",Roundup Ultramax,6.76,LC50,0.31,0.35,CI_95,4,5,"4 containers, 5 individuals",probit,wos45_ai_a,wos45_form_a,wos_45_1,1,Leptodactylus latrans,creole frog,Rio de la Plata Estuary/El pescado stream floodplain,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,larvae,24,herbicide,NO,NO,NA,environmental,acute,25,NA,fed,25 (gosner stage),YES,NA,NA,YES,soluble concentrate,YES,NA,2016,NA
224,wos45,glyphosate,>300,LC50,NA,NA,NA,4,5,"4 containers, 5 individuals",Roundup Ultramax,3.86,LC50,0.26,0.25,CI_95,4,5,"4 containers, 5 individuals",probit,wos45_ai_a,wos45_form_a,wos_45_1,1,Leptodactylus latrans,creole frog,Rio de la Plata Estuary/El pescado stream floodplain,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,larvae,48,herbicide,NO,NO,NA,environmental,acute,25,NA,fed,25 (gosner stage),YES,NA,NA,YES,soluble concentrate,YES,NA,2016,NA
225,wos45,glyphosate,>300,LC50,NA,NA,NA,4,5,"4 containers, 5 individuals",Roundup Ultramax,3.28,LC50,0.25,0.18,CI_95,4,5,"4 containers, 5 individuals",probit,wos45_ai_a,wos45_form_a,wos_45_1,1,Leptodactylus latrans,creole frog,Rio de la Plata Estuary/El pescado stream floodplain,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,larvae,72,herbicide,NO,NO,NA,environmental,acute,25,NA,fed,25 (gosner stage),YES,NA,NA,YES,soluble concentrate,YES,NA,2016,NA
226,wos45,glyphosate,>300,LC50,NA,NA,NA,4,5,"4 containers, 5 individuals",Roundup Ultramax,3.26,LC50,0.22,0.17,CI_95,4,5,"4 containers, 5 individuals",probit,wos45_ai_a,wos45_form_a,wos_45_1,1,Leptodactylus latrans,creole frog,Rio de la Plata Estuary/El pescado stream floodplain,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,larvae,96,herbicide,NO,NO,NA,environmental,acute,25,NA,fed,25 (gosner stage),YES,NA,NA,YES,soluble concentrate,YES,NA,2016,NA
227,wos45,glyphosate,>300,LC50,NA,NA,NA,4,5,"4 containers, 5 individuals",Roundup Ultramax,7.13,LC50,0.33,0.42,CI_95,4,5,"4 containers, 5 individuals",probit,wos45_ai_e,wos45_form_e,wos_45_2,1,Leptodactylus latrans,creole frog,Rio de la Plata Estuary/El pescado stream floodplain,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,larvae,24,herbicide,NO,NO,NA,environmental,acute,25,NA,starved,25 (gosner stage),YES,NA,NA,YES,soluble concentrate,YES,NA,2016,NA
228,wos45,glyphosate,>300,LC50,NA,NA,NA,4,5,"4 containers, 5 individuals",Roundup Ultramax,5.7,LC50,0.28,0.27,CI_95,4,5,"4 containers, 5 individuals",probit,wos45_ai_e,wos45_form_e,wos_45_2,1,Leptodactylus latrans,creole frog,Rio de la Plata Estuary/El pescado stream floodplain,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,larvae,48,herbicide,NO,NO,NA,environmental,acute,25,NA,starved,25 (gosner stage),YES,NA,NA,YES,soluble concentrate,YES,NA,2016,NA
229,wos45,glyphosate,>300,LC50,NA,NA,NA,4,5,"4 containers, 5 individuals",Roundup Ultramax,4.17,LC50,0.9,0.48,CI_95,4,5,"4 containers, 5 individuals",probit,wos45_ai_e,wos45_form_e,wos_45_2,1,Leptodactylus latrans,creole frog,Rio de la Plata Estuary/El pescado stream floodplain,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,larvae,72,herbicide,NO,NO,NA,environmental,acute,25,NA,starved,25 (gosner stage),YES,NA,NA,YES,soluble concentrate,YES,NA,2016,NA
230,wos45,glyphosate,>300,LC50,NA,NA,NA,4,5,"4 containers, 5 individuals",Roundup Ultramax,9.61,LC50,0.69,1.84,CI_95,4,5,"4 containers, 5 individuals",probit,wos45_ai_h,wos45_form_h,wos_45_3,1,Leptodactylus latrans,creole frog,Rio de la Plata Estuary/El pescado stream floodplain,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,larvae,72,herbicide,NO,NO,NA,environmental,acute,25,NA,fed,36 (gosner stage),YES,NA,NA,YES,soluble concentrate,YES,NA,2016,NA
231,wos45,glyphosate,>300,LC50,NA,NA,NA,4,5,"4 containers, 5 individuals",Roundup Ultramax,8.67,LC50,0.55,0.61,CI_95,4,5,"4 containers, 5 individuals",probit,wos45_ai_h,wos45_form_h,wos_45_3,1,Leptodactylus latrans,creole frog,Rio de la Plata Estuary/El pescado stream floodplain,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,larvae,96,herbicide,NO,NO,NA,environmental,acute,25,NA,fed,36 (gosner stage),YES,NA,NA,YES,soluble concentrate,YES,NA,2016,NA
232,wos91,diuron,10.4,IC50,1.9,1.8,CI_95,3,1,triplicate,Nortox® 500 SC,9.3,IC50,1.2,1.2,CI_95,3,1,triplicate,three parameter logistic,wos91_ai_a,wos91_form_a,wos91_1,1,Raphidocelis subcapitata,NA,Federal University of Sao Carlos,Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,96,herbicide,NO,NO,NA,environmental,acute,25,7.8,NA,NA,YES,NA,NA,NO,Aqueous suspension concentrates,YES,NA,2017,NA
233,wos91,carbofuran,7426.5,IC50,1807.6,1807.7,CI_95,3,1,triplicate,Furadan® 350 SC,6974.7,IC50,1164.3,1164.4,CI_95,3,1,triplicate,three parameter logistic,wos91_ai_b,wos91_form_b,wos91_2,1,Raphidocelis subcapitata,NA,Federal University of Sao Carlos,Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,96,herbicide,NO,NO,NA,environmental,acute,25,7.8,NA,NA,YES,NA,NA,NO,Aqueous suspension concentrates,YES,NA,2017,NA
234,wos26,diuron,94.6,LC50,9.7,9.8,CI_95,4,10,"4 containers, 10 individuals",Nortox® 500 SC,154.6,LC50,16.6,16.6,CI_95,4,10,"4 containers, 10 individuals",three parameter logistic,wos26_ai_a,wos26_form_a,wos26_1,1,Paramecium caudatum,NA,Monjolinho Reservoir,Ciliatea ,Ciliophora,Chromista,Aquatic,NA,2,herbicide,NO,NO,NA,environmental,acute,25,NA,NA,NA,YES,NA,NA,NO,Aqueous suspension concentrates,YES,NA,2016,adapted existing regulatory guidelines.
235,wos26,diuron,81,LC50,10.2,10.2,CI_95,4,10,"4 containers, 10 individuals",Nortox® 500 SC,112.7,LC50,11.2,11.1,CI_95,4,10,"4 containers, 10 individuals",three parameter logistic,wos26_ai_a,wos26_form_a,wos26_1,1,Paramecium caudatum,NA,Monjolinho Reservoir,Ciliatea ,Ciliophora,Chromista,Aquatic,NA,3,herbicide,NO,NO,NA,environmental,acute,25,NA,NA,NA,YES,NA,NA,NO,Aqueous suspension concentrates,YES,NA,2016,adapted existing regulatory guidelines.
236,wos26,diuron,73.6,LC50,7.2,7.2,CI_95,4,10,"4 containers, 10 individuals",Nortox® 500 SC,78.3,LC50,6.7,6.6,CI_95,4,10,"4 containers, 10 individuals",three parameter logistic,wos26_ai_a,wos26_form_a,wos26_1,1,Paramecium caudatum,NA,Monjolinho Reservoir,Ciliatea ,Ciliophora,Chromista,Aquatic,NA,4,herbicide,NO,NO,NA,environmental,acute,25,NA,NA,NA,YES,NA,NA,NO,Aqueous suspension concentrates,YES,NA,2016,adapted existing regulatory guidelines.
237,wos26,diuron,64.6,LC50,6.9,7,CI_95,4,10,"4 containers, 10 individuals",Nortox® 500 SC,62.4,LC50,5.3,5.3,CI_95,4,10,"4 containers, 10 individuals",three parameter logistic,wos26_ai_a,wos26_form_a,wos26_1,1,Paramecium caudatum,NA,Monjolinho Reservoir,Ciliatea ,Ciliophora,Chromista,Aquatic,NA,6,herbicide,NO,NO,NA,environmental,acute,25,NA,NA,NA,YES,NA,NA,NO,Aqueous suspension concentrates,YES,NA,2016,adapted existing regulatory guidelines.
238,wos26,diuron,7.1,LC50,1.2,1.19,CI_95,4,50,"4 containers, 50 individuals",Nortox® 500 SC,6.78,LC50,1.9,1.89,CI_95,4,50,"4 containers, 50 individuals",three parameter logistic,wos26_ai_e,wos26_form_e,wos26_2,1,Paramecium caudatum,NA,Monjolinho Reservoir,Ciliatea ,Ciliophora,Chromista,Aquatic,NA,24,herbicide,NO,NO,NA,environmental,chronic,25,NA,NA,NA,YES,NA,NA,NO,Aqueous suspension concentrates,YES,NA,2016,adapted existing regulatory guidelines.
239,wos26,carbofuran,239.3,LC50,5.6,5.6,CI_95,4,10,"4 containers, 10 individuals",Furadan® 350 SC,170,LC50,2.3,2.4,CI_95,4,10,"4 containers, 10 individuals",three parameter logistic,wos26_ai_f,wos26_form_f,wos26_3,1,Paramecium caudatum,NA,Monjolinho Reservoir,Ciliatea ,Ciliophora,Chromista,Aquatic,NA,2,herbicide,NO,NO,NA,environmental,acute,25,NA,NA,NA,YES,NA,NA,NO,Aqueous suspension concentrates,YES,NA,2016,adapted existing regulatory guidelines.
240,wos26,carbofuran,200.6,LC50,9.2,9.1,CI_95,4,10,"4 containers, 10 individuals",Furadan® 350 SC,119.7,LC50,3.3,3.3,CI_95,4,10,"4 containers, 10 individuals",three parameter logistic,wos26_ai_f,wos26_form_f,wos26_3,1,Paramecium caudatum,NA,Monjolinho Reservoir,Ciliatea ,Ciliophora,Chromista,Aquatic,NA,3,herbicide,NO,NO,NA,environmental,acute,25,NA,NA,NA,YES,NA,NA,NO,Aqueous suspension concentrates,YES,NA,2016,adapted existing regulatory guidelines.
241,wos26,carbofuran,174,LC50,10.7,10.8,CI_95,4,10,"4 containers, 10 individuals",Furadan® 350 SC,98.5,LC50,3.5,3.5,CI_95,4,10,"4 containers, 10 individuals",three parameter logistic,wos26_ai_f,wos26_form_f,wos26_3,1,Paramecium caudatum,NA,Monjolinho Reservoir,Ciliatea ,Ciliophora,Chromista,Aquatic,NA,4,herbicide,NO,NO,NA,environmental,acute,25,NA,NA,NA,YES,NA,NA,NO,Aqueous suspension concentrates,YES,NA,2016,adapted existing regulatory guidelines.
242,wos26,carbofuran,142,LC50,5.1,5,CI_95,4,10,"4 containers, 10 individuals",Furadan® 350 SC,70.4,LC50,4.5,4.6,CI_95,4,10,"4 containers, 10 individuals",three parameter logistic,wos26_ai_f,wos26_form_f,wos26_3,1,Paramecium caudatum,NA,Monjolinho Reservoir,Ciliatea ,Ciliophora,Chromista,Aquatic,NA,6,herbicide,NO,NO,NA,environmental,acute,25,NA,NA,NA,YES,NA,NA,NO,Aqueous suspension concentrates,YES,NA,2016,adapted existing regulatory guidelines.
243,wos26,carbofuran,22.95,LC50,7.35,7.35,CI_95,4,50,"4 containers, 50 individuals",Furadan® 350 SC,4.98,LC50,1.28,1.29,CI_95,4,50,"4 containers, 50 individuals",three parameter logistic,wos26_ai_j,wos26_form_j,wos26_4,1,Paramecium caudatum,NA,Monjolinho Reservoir,Ciliatea ,Ciliophora,Chromista,Aquatic,NA,24,herbicide,NO,NO,NA,environmental,acute,25,NA,NA,NA,YES,NA,NA,NO,Aqueous suspension concentrates,YES,NA,2016,adapted existing regulatory guidelines.
244,wos2136,quintozene,707,LC50,341,659,CI_95,10,1,"10 individuals, housed separately",FFII,690.2,LC50,169.15,1623.16,CI_95,10,1,"10 individuals, housed separately",three parameter logistic,wos2136_ai_a,wos2136_form_a,wos2136_1,1,Oryzias latipes,japanese medaka,Carolina Biological Supply,Actinopterygii ,Chordata,Animalia,Aquatic,embryo,408,fungicide,NO,NO,NA,environmental,chronic,26,7.6,fed,NA,NO,NA,90,NO,granules,NO,YES,2008,NA
245,scopus1818,glyphosate-IPA,>20,EC50,NA,NA,NA,4,1,4 replicates,Atanor,12.08,EC50,3.15,3.15,SE,4,1,4 replicates,non-linear,scopus1818_ai_a,scopus1818_form_a,scopus1818_1,1,Raphidocelis subcapitata,NA,University of Buenos Aires,Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,168,herbicide,NO,NO,NA,environmental,chronic,22,NA,NA,NA,NO,NA,NA,YES,soluble concentrate,YES,NA,2021,"also performed studies on s.acutus whether neither the formulation or AI had an effect. However, only tests between 0-20 with no associated range finding test so excluded. "
246,wos1189,glyphosate,18.2,LC50,0.8,0.7,CI_95,4,3,"4 replicates, 3 individuals per well",Roundup Max,21.8,LC50,2.3,2.4,CI_95,4,3,"4 replicates, 3 individuals per well",probit,wos1189_ai_a,wos1189_form_a,wos1189_1,1,Hydra vulgaris,fresh-water polyp,Watertox Bioassays Program of the International Development Research Center of Canada,Hydrozoa,Cnidaria,Animalia,Aquatic,adult,96,herbicide,NO,NO,NA,environmental,acute,20,NA,NA,NA,NO,NA,NA,NO,soluble concentrate,YES,NA,2012,NA
247,wos1189,cypermethrin,13.5,LC50,1.6,2,CI_95,4,3,"4 replicates, 3 individuals per well",Glextrin,9.9,LC50,0.9,0.8,CI_95,4,3,"4 replicates, 3 individuals per well",probit,wos1189_ai_b,wos1189_form_b,wos1189_2,1,Hydra vulgaris,fresh-water polyp,Watertox Bioassays Program of the International Development Research Center of Canada,Hydrozoa,Cnidaria,Animalia,Aquatic,adult,96,insecticide,NO,NO,NA,environmental,acute,20,NA,NA,NA,NO,NA,NA,NO,Emulsifiable concentrate,YES,NA,2012,NA
248,wos1189,chlorpyrifos,1.5,LC50,0.3,0.3,CI_95,4,3,"4 replicates, 3 individuals per well",PirfosGlex,1,LC50,0.2,0.2,CI_95,4,3,"4 replicates, 3 individuals per well",probit,wos1189_ai_c,wos1189_form_c,wos1189_3,1,Hydra vulgaris,fresh-water polyp,Watertox Bioassays Program of the International Development Research Center of Canada,Hydrozoa,Cnidaria,Animalia,Aquatic,adult,96,insecticide,NO,NO,NA,environmental,acute,20,NA,NA,NA,NO,NA,NA,NO,liquid formulation,YES,NA,2012,NA
249,wos1413,propetamphos,236,EC50,49,212,CI_95,4,1,4 replicates,Ectomort centenary,14,EC50,7.4,16.9,CI_95,4,1,4 replicates,NA,wos1413_ai_a,wos1413_form_a,wos1413_1,1,NA,Microbial community,Conwy Estuary,NA,NA,NA,Aquatic,NA,1,insecticide,NO,NO,NA,environmental,acute,NA,NA,NA,NA,NO,NA,NA,NO,sheep dip,YES,NA,2011,difference between this and the other wos1413 effect size is dissolved organic matter. 0 for this one
250,wos1413,propetamphos,404,EC50,284,596,CI_95,4,1,4 replicates,Ectomort centenary,23,EC50,6.6,15,CI_95,4,1,4 replicates,NA,wos1413_ai_b,wos1413_form_b,wos1413_2,1,NA,Microbial community,Conwy Estuary,NA,NA,NA,Aquatic,NA,1,insecticide,NO,NO,NA,environmental,acute,NA,NA,NA,NA,NO,NA,NA,NO,sheep dip,YES,NA,2011,difference between this and the other wos1413 effect size is dissolved organic matter. 40 for this one
251,wos5,glyphosate-IPA,10.2,EC50,-0.2,1,CI_95,2,1,2 replicates,Ron-do,9.08,EC50,0.68,0.62,CI_95,2,1,2 replicates,probit,wos5_ai_a,wos5_form_a,wos5_1,1,Scenedesmus acutus,NA,"Culture Collection of Algae, University of Göttingen, Germany",Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,96,herbicide,NO,NO,NA,environmental,acute,22,7.5,NA,NA,YES,NA,80.1,NO,soluble concentrate,YES,NA,1997,negative lower CI for AI. Use upper.
252,wos5,glyphosate-IPA,7.2,EC50,2.8,1.7,CI_95,2,1,2 replicates,Ron-do,9.09,EC50,1.03,1.11,CI_95,2,1,2 replicates,probit,wos5_ai_b,wos5_form_b,wos5_2,1,Scenedesmus quadricauda,NA,Luján river,Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,96,herbicide,NO,NO,NA,environmental,acute,22,7.5,NA,NA,YES,NA,80.1,NO,soluble concentrate,YES,NA,1997,NA
253,wos397,glyphosate,33.1,IC50,11.5,14.8,CI_95,4,1,4 replicates,Roundup Max,9.2,IC50,4.8,8.1,CI_95,4,1,4 replicates,linear interpolation,wos397_ai_a,wos397_form_a,wos397_1,1,Lemna gibba,NA,"El pescado stream, Buenos Aires province",Liliopsida,Tracheophyta,Plantae,Aquatic,NA,48,herbicide,NO,NO,NA,environmental,acute,24,6.5,NA,NA,YES,NA,NA,NO,soluble concentrate,YES,NA,2007,NA
254,wos397,glyphosate,22.6,IC50,2.3,3.1,CI_95,4,1,4 replicates,Roundup Max,15.9,IC50,1.6,1.6,CI_95,4,1,4 replicates,linear interpolation,wos397_ai_b,wos397_form_b,wos397_1,1,Lemna gibba,NA,"El pescado stream, Buenos Aires province",Liliopsida,Tracheophyta,Plantae,Aquatic,NA,120,herbicide,NO,NO,NA,environmental,chronic,24,6.5,NA,NA,YES,NA,NA,NO,soluble concentrate,YES,NA,2007,NA
255,wos397,glyphosate,20.5,IC50,0.9,1.2,CI_95,4,1,4 replicates,Roundup Max,11.6,IC50,0.7,-9.5,CI_95,4,1,4 replicates,linear interpolation,wos397_ai_c,wos397_form_c,wos397_1,1,Lemna gibba,NA,"El pescado stream, Buenos Aires province",Liliopsida,Tracheophyta,Plantae,Aquatic,NA,240,herbicide,NO,NO,NA,environmental,chronic,24,6.5,NA,NA,YES,NA,NA,NO,soluble concentrate,YES,NA,2007,negative upper CI for formulation. Use lower arm. 
256,wos866,clomazone,59.9,EC50,7.1,8.1,CI_95,3,1,3 replicates,Rampa,38.7,EC50,3.9,4.3,CI_95,3,1,3 replicates,logarithmic regression,wos866_ai_a,wos866_form_aa,wos866_1,1,Lemna minor,NA,"Institute of Pesticides and Environmental Protection, Serbia",Liliopsida,Tracheophyta,Plantae,Aquatic,NA,168,herbicide,NO,NO,NA,environmental,chronic,24,NA,NA,NA,YES,NA,NA,NO,Emulsifiable concentrate,YES,NA,2021,multiple endpoints were looked at but fresh weight was extracted.
257,wos866,clomazone,59.9,EC50,7.1,8.1,CI_95,3,1,3 replicates,GAT,369.7,EC50,41.7,47,CI_95,3,1,3 replicates,logarithmic regression,wos866_ai_a,wos866_form_ab,wos866_2,1,Lemna minor,NA,"Institute of Pesticides and Environmental Protection, Serbia",Liliopsida,Tracheophyta,Plantae,Aquatic,NA,168,herbicide,NO,NO,NA,environmental,chronic,24,NA,NA,NA,YES,NA,NA,NO,Aqueous capsule suspensions,YES,NA,2021,multiple endpoints were looked at but fresh weight was extracted.
258,wos866,clomazone,1.2,EC50,1.2,1066.8,CI_95,3,1,3 replicates,Rampa,810,EC50,618.4,46649,CI_95,3,1,3 replicates,logarithmic regression,wos866_ai_b,wos866_form_ba,wos866_3,1,Myriophyllum aquaticum,NA,"Institute of Pesticides and Environmental Protection, Serbia",Magnoliopsida,Tracheophyta,Plantae,Aquatic,NA,168,herbicide,NO,NO,NA,environmental,chronic,24,NA,NA,NA,YES,NA,NA,NO,Emulsifiable concentrate,YES,NA,2021,multiple endpoints were looked at but fresh weight was extracted. Note the extremely wide CI. Don't think this model fitted properly.
259,wos866,clomazone,1.2,EC50,1.2,1066.8,CI_95,3,1,3 replicates,GAT,7.1,EC50,5.9,34.9,CI_95,3,1,3 replicates,logarithmic regression,wos866_ai_b,wos866_form_bb,wos866_4,1,Myriophyllum aquaticum,NA,"Institute of Pesticides and Environmental Protection, Serbia",Magnoliopsida,Tracheophyta,Plantae,Aquatic,NA,168,herbicide,NO,NO,NA,environmental,chronic,24,NA,NA,NA,YES,NA,NA,NO,Aqueous capsule suspensions,YES,NA,2021,multiple endpoints were looked at but fresh weight was extracted. Note the extremely wide CI. Don't think this model fitted properly.
260,wos291,chlorothalonil,14.9,EC50,2.4,2.5,CI_95,5,10,"5 replicates, 10 individuals",Bravo 500,41.3,EC50,10.4,10.4,CI_95,5,10,"5 replicates, 10 individuals",probit,wos291_ai_a,wos291_form_a,wos291_1,1,Folsomia candida,NA,"Centre for Functional Ecology, Portugal",Entognatha ,Arthropoda,Animalia,Terrestrial,adult,696,fungicide,NO,NO,NA,environmental,chronic,20,NA,fed,NA,YES,NA,NA,NO,Aqueous suspension concentrates,YES,NA,2019,glyphosate/montana comparison was excluded as no effect for either and different concentration range tested for each.
261,scopus2687,permethrin,0.1,LC50,0.02,0.35,CI_95,12,25,"4 replicates, 25 individuals, repeated 3 times.",permethrin nano,2.5,LC50,1.12,1.63,CI_95,12,25,"4 replicates, 25 individuals, repeated 3 times.",NA,scopus2687_ai_a,scopus2687_form_a,scopus2687_1,1,Drosophila melanogaster,fruit fly,wild Canton-S,Insecta,Arthropoda,Animalia,Terrestrial,larvae,240,insecticide,YES,NO,NA,oral-food,chronic,NA,NA,fed,third instar,NO,NA,NA,NO,nanoparticles,UNSURE,NA,2022,NA
262,scopus2687,Cu,5,LC50,2.09,0.83,CI_95,12,25,"4 replicates, 25 individuals, repeated 3 times.",Cu nano,5,LC50,2.07,0.47,CI_95,12,25,"4 replicates, 25 individuals, repeated 3 times.",NA,scopus2687_ai_b,scopus2687_form_b,scopus2687_2,1,Drosophila melanogaster,fruit fly,wild Canton-S,Insecta,Arthropoda,Animalia,Terrestrial,larvae,240,fungicide,YES,NO,NA,oral-food,chronic,NA,NA,fed,third instar,NO,NA,NA,NO,nanoparticles,UNSURE,NA,2022,NA
263,scopus2687,acephate,5,LC50,2.22,1.43,CI_95,12,25,"4 replicates, 25 individuals, repeated 3 times.",acephate nano,5,LC50,2.14,1.32,CI_95,12,25,"4 replicates, 25 individuals, repeated 3 times.",NA,scopus2687_ai_c,scopus2687_form_c,scopus2687_3,1,Drosophila melanogaster,fruit fly,wild Canton-S,Insecta,Arthropoda,Animalia,Terrestrial,larvae,240,insecticide,YES,NO,NA,oral-food,chronic,NA,NA,fed,third instar,NO,NA,NA,NO,nanoparticles,UNSURE,NA,2022,NA
